item_code,item,unit,item_group,item_category,2023-02-02,2023-02-06,2023-02-07,2023-02-08,2023-02-10,2023-02-11,2023-02-12,2023-02-13,2023-02-14,2023-02-15,2023-02-16,2023-02-17,2023-02-20,2023-02-21,2023-02-22,2023-02-23,2023-02-24,2023-02-25,2023-02-26,2023-02-27,2023-02-28
1444,BAWANG KECIL MERAH IMPORT (MYANMAR),1kg,BARANGAN KERING,BAWANG,4.5,,,,,,,4.5,,,,,4.5,,,,,,,4.5,
1445,BERAS CAP FAIZA EMAS (SST5%),10 kg,BARANGAN BERBUNGKUS,BERAS,25.929166666666664,,,,,,,25.920408163265304,,,,,25.921999999999997,,,,,,,25.91698113207547,
1458,KUBIS BULAT IMPORT (BEIJING),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,5.582,,5.19,,,,,5.553414634146342,,,3.49,3.49,5.386315789473684,3.59,3.59,3.59,3.59,3.59,3.59,5.391351351351352,3.59
1463,KRIMER SEJAT CARNATION,390g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,4.123389830508475,,,,,,,4.1338333333333335,,,,,4.1321666666666665,,,,,,,4.128360655737705,
1474,BERAS BASMATHI - FAIZA (KASHMIR),5 kg,BARANGAN BERBUNGKUS,BERAS,31.083870967741934,,,,,,,31.162857142857145,,,,,31.476388888888884,,,,,,,31.86911764705882,
1476,IKAN KEMBUNG (ANTARA 8 HINGGA 12 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,18.26969696969697,,,,,,,16.7125,,,,,17.926666666666666,,,,,,,18.26774193548387,
1477,IKAN MABUNG (ANTARA 6 HINGGA 10 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,,,,,,,,20.0,,,,,,,20.0,
1479,BROKOLI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,13.838611111111112,,,,8.75,8.29,8.29,13.358055555555556,8.29,10.49,10.49,10.49,13.17725,7.89,7.89,7.89,7.89,7.89,7.89,13.292727272727273,7.89
1481,KUBIS BUNGA (CAULIFLOWER),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,10.526379310344828,,11.29,11.29,11.29,11.29,11.29,11.021333333333333,11.29,10.59,10.59,10.59,10.669508196721312,9.29,7.29,7.29,7.29,7.29,7.29,10.6,
1482,KUBIS PANJANG (TEMPATAN),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,6.545714285714285,7.5,4.69,3.59,3.59,3.59,3.59,6.039375,3.59,3.89,3.89,3.89,6.326875,3.89,3.89,3.89,3.89,3.89,3.89,6.318333333333333,3.89
1483,MEE KUNING BASAH (PELBAGAI JENAMA),+-450g,BARANGAN SEGAR,MEE/KUETIAU,1.6633707865168539,,1.35,1.35,1.35,1.35,1.35,1.6562790697674419,1.35,1.35,1.35,1.35,1.6582222222222223,1.35,1.35,1.35,1.35,1.35,1.35,1.6625287356321838,1.35
1484,KUETIAU BASAH (PELBAGAI JENAMA),+-450g,BARANGAN SEGAR,MEE/KUETIAU,1.5551515151515152,,1.35,1.35,1.35,1.35,1.35,1.5483076923076924,1.35,1.35,1.35,1.35,1.545373134328358,1.35,1.35,1.35,1.35,1.35,1.35,1.5513432835820895,1.35
1485,EPAL HIJAU GRANNY SMITH (SAIZ M),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,1.4500000000000002,,,,,,,1.4500000000000002,,,,,1.4,,,,,,,1.4000000000000001,
1486,EPAL MERAH RED DELICIOUS (SAIZ M),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,,,,,,,,,,,,,,,1.4,
1487,OREN VALENCIA (SAIZ M),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,1.2,,,,,,,1.2,,,,,1.0,,,,,,,1.0,
1489,ASAM JAWA (BERBIJI) PELBAGAI JENAMA,200 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),1.5427835051546392,,,,,,,1.546354166666667,,,,,1.5398989898989899,,,,,,,1.5390625,
1491,BERAS PULUT THAILAND (SUSU) PELBAGAI JENAMA,1kg,BARANGAN BERBUNGKUS,BERAS,6.533863636363637,,,,,,,6.567446808510638,,,,,6.4814,,,,,,,6.476458333333333,
1492,BERAS PULUT THAILAND (BIASA) PELBAGAI JENAMA,1kg,BARANGAN BERBUNGKUS,BERAS,5.719512195121951,,,,,,,5.720609756097561,,,,,5.717375,,,,,,,5.730641025641026,
1493,BIHUN KERING TEMPATAN (CAP JASMINE),400 g,BARANGAN BERBUNGKUS,BIHUN,3.1921212121212124,,,,,,,3.216875,,,,,3.186470588235294,,,,,,,3.189714285714286,
1494,ROTI GARDENIA BREAKTHRU - ROTI GANDUM PENUH,400 g,BARANGAN BERBUNGKUS,ROTI,4.0,,,,,,,4.0,,,,,4.0,,,,,,,4.0,
1498,TEPUNG JAGUNG (PELBAGAI JENAMA),400 g,BARANGAN BERBUNGKUS,TEPUNG,2.1813291139240505,,,,,,,2.1883647798742136,,,,,2.1861111111111113,,,,,,,2.1847826086956523,
1505,DUTCH LADY UHT COKLAT (KOTAK),200 ml,MINUMAN,TERSEDIA MINUM,,,,,,,,,,,,,1.8922018348623852,,,,,,,,
1506,DUTCH LADY UHT FULL CREAM (KOTAK),200 ml,MINUMAN,TERSEDIA MINUM,,,,,,,,,,,,,1.9091836734693879,,,,,,,,
1507,COCA COLA (TIN),320 ml,MINUMAN,TERSEDIA MINUM,,,,,,,,,,,,,1.8903508771929824,,,,,,,,
1512,MAMEX LANGKAH 1 - RUMUSAN BAYI (KOTAK),600 g,SUSU DAN BARANGAN BAYI,SUSU BAYI,60.3625,,,,,,,60.7375,,,,,60.7375,,,,,,,60.628571428571426,
1513,SUSTAGEN KID 3+ (VANILLA) - KOTAK,600 g,SUSU DAN BARANGAN BAYI,SUSU BAYI,36.25555555555555,,,,,,,36.163157894736834,,,,,36.163157894736834,,,,,,,36.21052631578947,
1514,SUSTAGEN JUNIOR 1+ (VANILLA ) - KOTAK,600 g,SUSU DAN BARANGAN BAYI,SUSU BAYI,38.585,,,,,,,38.585,,,,,38.585,,,,,,,38.585,
1515,HEINZ FARLEY RUSKS (ORIGINAL),120 g,SUSU DAN BARANGAN BAYI,MAKANAN BAYI,7.65,,,,,,,7.688888888888889,,,,,7.622222222222222,,,,,,,7.622222222222222,
1517,HEINZ APPLE PUREE,110 g,SUSU DAN BARANGAN BAYI,MAKANAN BAYI,6.9,,,,,,,6.9,,,,,6.9,,,,,,,6.9,
1524,BERUS GIGI COLGATE (ZIG ZAG - SOFT),1 batang,PRODUK KEBERSIHAN,PENJAGAAN DIRI,,,,,,,,,,,,,4.019879518072289,,,,,,,,
1525,BERUS GIGI ORAL B (COMPLETE EASY CLEAN - SOFT),1 batang,PRODUK KEBERSIHAN,PENJAGAAN DIRI,,,,,,,,,,,,,4.190909090909091,,,,,,,,
1538,SABUN PENCUCI AXION PASTE (LEMON),350 g,PRODUK KEBERSIHAN,PENJAGAAN RUMAH,,,,,,,,,,,,,4.143691275167786,,,,,,,,
1539,SABUN PENCUCI KUAT HARIMAU (LEMON),400 g,PRODUK KEBERSIHAN,PENJAGAAN RUMAH,,,,,,,,,,,,,2.9583333333333335,,,,,,,,
1540,SABUN PENCUCI GLO (LEMON),900ml,PRODUK KEBERSIHAN,PENJAGAAN RUMAH,,,,,,,,,,,,,6.3156140350877195,,,,,,,,
1544,SERBUK NASI GORENG CINA ADABI,17 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),1.28,,,,,,,1.2691803278688525,,,,,1.2772649572649573,,,,,,,1.289586776859504,
1545,PERENCAH NASI GORENG IKAN BILIS SERI AJI,26G,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),1.378125,,,,,,,1.3822916666666665,,,,,1.379787234042553,,,,,,,1.3822916666666665,
1547,PEPSI COLA (TIN),320 ml,MINUMAN,TERSEDIA MINUM,,,,,,,,,,,,,1.837837837837838,,,,,,,,
1550,PAHA AYAM (CHICKEN DRUMSTICK),1kg,BARANGAN SEGAR,AYAM,14.48,,,,,,,14.733333333333334,,,,,15.15,,,,,,,15.15,
1551,DADA AYAM (CHICKEN KEEL) (1KG),1kg,BARANGAN SEGAR,AYAM,14.440000000000001,,,,,,,14.440000000000001,,,,,14.48,,,,,,,14.530000000000001,
1552,THIGH AYAM,1kg,BARANGAN SEGAR,AYAM,,,,,,,,,,,,,,,,,,,,14.5,
1553,WHOLE LEG AYAM,1kg,BARANGAN SEGAR,AYAM,13.786363636363637,,,,,,,13.831818181818182,,,,,13.9,,,,,,,14.039130434782608,
1554,IKAN MERAH (KEPINGAN),1kg,BARANGAN SEGAR,BAHAN LAUT,47.4,,,,,,,46.333333333333336,,,,,46.25,,,,,,,50.0,
1555,UDANG PUTIH/VANNAMEI (TERNAK) (ANTARA 41 HINGGA 60 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,35.19655172413793,,34.99,34.99,30.49,30.49,,35.59571428571429,34.99,31.99,31.99,31.99,34.971599999999995,,,,,,36.99,34.893,31.99
1556,BAYAM HIJAU,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,6.595599999999999,,,,,,,7.445833333333333,,,,,7.776,,,,,,,7.223076923076923,
1557,BAYAM MERAH,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,7.47,,,,,,,8.133333333333333,,,,,8.625,,,,,,,8.785714285714286,
