item_code,item,unit,item_group,item_category,2022-03-07,2022-03-08,2022-03-14,2022-03-21,2022-03-28
1538,SABUN PENCUCI AXION PASTE (LEMON),350 g,PRODUK KEBERSIHAN,PENJAGAAN RUMAH,,,,,4.010851063829787
1539,SABUN PENCUCI KUAT HARIMAU (LEMON),400 g,PRODUK KEBERSIHAN,PENJAGAAN RUMAH,,,,,2.918823529411765
1540,SABUN PENCUCI GLO (LEMON),900ml,PRODUK KEBERSIHAN,PENJAGAAN RUMAH,,,,,5.765061728395062
1541,SABUN PENCUCI SUNLIGHT (LEMON),1000 ml,PRODUK KEBERSIHAN,PENJAGAAN RUMAH,,,,,6.787371794871794
1543,KIUB SUP TOMYAM (MAGGI),2 X 10G,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),1.5,,1.5,1.5,1.5
1544,SERBUK NASI GORENG CINA ADABI,17 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),1.1738461538461538,,1.19,1.1896116504854368,1.1988349514563106
1545,PERENCAH NASI GORENG IKAN BILIS SERI AJI,26G,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),1.3461538461538463,,1.3584905660377358,1.3407407407407408,1.3430000000000002
1547,PEPSI COLA (TIN),320 ml,MINUMAN,TERSEDIA MINUM,,,,,1.7512820512820513
1550,PAHA AYAM (CHICKEN DRUMSTICK),1kg,BARANGAN SEGAR,AYAM,12.35,,12.7,12.742857142857144,13.244444444444445
1551,DADA AYAM (CHICKEN KEEL) (1KG),1kg,BARANGAN SEGAR,AYAM,12.8075,,12.608181818181817,12.69909090909091,12.69909090909091
1552,THIGH AYAM,1kg,BARANGAN SEGAR,AYAM,11.3,,12.0475,12.0475,11.866666666666667
1553,WHOLE LEG AYAM,1kg,BARANGAN SEGAR,AYAM,11.939499999999999,,12.081363636363637,11.990869565217393,11.98217391304348
1554,IKAN MERAH (KEPINGAN),1kg,BARANGAN SEGAR,BAHAN LAUT,43.63333333333333,,42.725,43.63333333333333,43.0
1555,UDANG PUTIH/VANNAMEI (TERNAK) (ANTARA 41 HINGGA 60 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,33.95518518518519,,33.51037037037037,32.51695652173913,32.99222222222222
1556,BAYAM HIJAU,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,6.324137931034483,,6.777272727272727,6.5625,6.366666666666667
1557,BAYAM MERAH,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,7.6,,7.0,6.655555555555555,6.766666666666667
1558,SAWI HIJAU,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,7.237758620689656,,7.2038,7.209830508474576,6.957719298245615
1559,KANGKUNG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,6.156756756756757,,6.264705882352941,6.079411764705882,5.997058823529412
1560,KAILAN,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,9.404347826086957,,9.5125,9.254347826086956,9.131818181818183
1561,TAUGE KACANG HIJAU,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,4.234489795918368,,4.181041666666666,4.125869565217391,4.1727083333333335
1562,UDANG KERING,100 g,BARANGAN KERING,HASIL LAUT KERING,6.894117647058824,,6.5058823529411764,6.610526315789474,6.555
1563,SOTONG KERING (SAIZ SERDAHANA),1kg,BARANGAN KERING,HASIL LAUT KERING,70.0,,70.0,70.0,70.0
1564,BAWANG PUTIH IMPORT (CHINA),1kg,BARANGAN KERING,BAWANG,9.056993865030675,,9.11038961038961,9.079141104294479,9.110909090909091
