item_code,item,unit,item_group,item_category,2022-04-01,2022-04-04,2022-04-11,2022-04-18,2022-04-25,2022-04-28,2022-04-29,2022-04-30
1444,BAWANG KECIL MERAH IMPORT (MYANMAR),1kg,BARANGAN KERING,BAWANG,,5.5,6.0,6.166666666666667,6.1,,7.25,
1445,BERAS CAP FAIZA EMAS (SST5%),10 kg,BARANGAN BERBUNGKUS,BERAS,,25.918367346938776,25.93541666666667,25.934,25.931250000000002,,25.940425531914894,
1458,KUBIS BULAT IMPORT (BEIJING),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,5.5,6.120930232558139,6.1909090909090905,6.07391304347826,6.21875,,6.275609756097562,6.5
1463,KRIMER SEJAT CARNATION,390g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,3.3666666666666667,3.3059649122807016,3.3110169491525423,3.3179310344827586,3.32241935483871,,3.318888888888889,
1474,BERAS BASMATHI - FAIZA (KASHMIR),5 kg,BARANGAN BERBUNGKUS,BERAS,,31.95142857142857,31.863888888888887,31.83235294117647,31.825000000000003,,31.745945945945945,
1476,IKAN KEMBUNG (ANTARA 8 HINGGA 12 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,14.0,17.515384615384615,17.323076923076922,18.18695652173913,17.245454545454546,,14.021666666666667,
1477,IKAN MABUNG (ANTARA 6 HINGGA 10 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,22.0,19.0,21.0,,,,
1479,BROKOLI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,13.5,13.829459459459459,13.542857142857141,13.962222222222222,13.983333333333333,,13.99268292682927,15.0
1481,KUBIS BUNGA (CAULIFLOWER),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,7.7,9.281481481481482,9.043333333333333,9.2125,9.07521739130435,,9.05358208955224,12.0
1482,KUBIS PANJANG (TEMPATAN),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,,6.461875,6.609999999999999,6.549230769230769,6.661538461538461,,6.6000000000000005,
1483,MEE KUNING BASAH (PELBAGAI JENAMA),+-450g,BARANGAN SEGAR,MEE/KUETIAU,1.2666666666666666,1.4872727272727273,1.4733333333333334,1.4736082474226804,1.4772631578947368,,1.4814736842105265,1.7
1484,KUETIAU BASAH (PELBAGAI JENAMA),+-450g,BARANGAN SEGAR,MEE/KUETIAU,1.2666666666666666,1.357719298245614,1.3498214285714287,1.364237288135593,1.3543636363636362,,1.3605357142857142,1.7
1485,EPAL HIJAU GRANNY SMITH (SAIZ M),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,1.2,1.5666666666666667,1.46,1.4666666666666668,1.325,,1.5,
1486,EPAL MERAH RED DELICIOUS (SAIZ M),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,,,1.4,,1.4,,,
1487,OREN VALENCIA (SAIZ M),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,,1.35,1.3,1.3,1.8,,1.8,
1489,ASAM JAWA (BERBIJI) PELBAGAI JENAMA,200 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),1.4,1.4837837837837837,1.4734177215189874,1.4773809523809522,1.4737500000000001,,1.48,
1491,BERAS PULUT THAILAND (SUSU) PELBAGAI JENAMA,1kg,BARANGAN BERBUNGKUS,BERAS,,6.321063829787235,6.409245283018868,6.409423076923077,6.433148148148148,,6.4178,
1492,BERAS PULUT THAILAND (BIASA) PELBAGAI JENAMA,1kg,BARANGAN BERBUNGKUS,BERAS,,5.6475,5.6325581395348845,5.684523809523809,5.665555555555556,,5.655056179775281,
1493,BIHUN KERING TEMPATAN (CAP JASMINE),400 g,BARANGAN BERBUNGKUS,BIHUN,2.6666666666666665,2.631818181818182,2.620212765957447,2.620212765957447,2.6322916666666667,,2.618888888888889,
1494,ROTI GARDENIA BREAKTHRU - ROTI GANDUM PENUH,400 g,BARANGAN BERBUNGKUS,ROTI,3.6,3.6,3.6,3.6,3.6,,3.6,
1498,TEPUNG JAGUNG (PELBAGAI JENAMA),400 g,BARANGAN BERBUNGKUS,TEPUNG,1.8,1.9109523809523812,1.9138461538461538,1.9241071428571428,1.9235119047619047,,1.9240853658536585,
1505,DUTCH LADY UHT COKLAT (KOTAK),200 ml,MINUMAN,TERSEDIA MINUM,,,,,1.788659793814433,,,
1506,DUTCH LADY UHT FULL CREAM (KOTAK),200 ml,MINUMAN,TERSEDIA MINUM,,,,,1.7804123711340205,,,
1507,COCA COLA (TIN),320 ml,MINUMAN,TERSEDIA MINUM,,,,,1.8008849557522124,,1.8,
1512,MAMEX LANGKAH 1 - RUMUSAN BAYI (KOTAK),600 g,SUSU DAN BARANGAN BAYI,SUSU BAYI,,53.766666666666666,53.675,53.675,53.699999999999996,,53.699999999999996,
1513,SUSTAGEN KID 3+ (VANILLA) - KOTAK,600 g,SUSU DAN BARANGAN BAYI,SUSU BAYI,,34.57857142857143,34.542857142857144,34.5475,34.42619047619048,,34.36052631578948,
1514,SUSTAGEN JUNIOR 1+ (VANILLA ) - KOTAK,600 g,SUSU DAN BARANGAN BAYI,SUSU BAYI,,36.95619047619047,36.85444444444445,36.864705882352936,36.71764705882352,,36.71111111111111,
1515,HEINZ FARLEY RUSKS (ORIGINAL),120 g,SUSU DAN BARANGAN BAYI,MAKANAN BAYI,,7.0166666666666675,7.035000000000001,7.172222222222222,7.1450000000000005,,7.1450000000000005,
1517,HEINZ APPLE PUREE,110 g,SUSU DAN BARANGAN BAYI,MAKANAN BAYI,,5.5,5.5,5.5,5.5,,5.5,
1524,BERUS GIGI COLGATE (ZIG ZAG - SOFT),1 batang,PRODUK KEBERSIHAN,PENJAGAAN DIRI,,,,,4.011733333333333,,4.8,
1525,BERUS GIGI ORAL B (COMPLETE EASY CLEAN - SOFT),1 batang,PRODUK KEBERSIHAN,PENJAGAAN DIRI,,,,,3.853333333333333,,4.5,
1538,SABUN PENCUCI AXION PASTE (LEMON),350 g,PRODUK KEBERSIHAN,PENJAGAAN RUMAH,,,,,4.0109289617486334,,4.2,
1539,SABUN PENCUCI KUAT HARIMAU (LEMON),400 g,PRODUK KEBERSIHAN,PENJAGAAN RUMAH,,,,,2.8848101265822788,,2.9,
1540,SABUN PENCUCI GLO (LEMON),900ml,PRODUK KEBERSIHAN,PENJAGAAN RUMAH,,,,,5.7523926380368104,,5.69,
1541,SABUN PENCUCI SUNLIGHT (LEMON),1000 ml,PRODUK KEBERSIHAN,PENJAGAAN RUMAH,,,,,6.805774647887324,,7.6,
1543,KIUB SUP TOMYAM (MAGGI),2 X 10G,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),,1.5,1.5,1.5,1.5,,1.5,
1544,SERBUK NASI GORENG CINA ADABI,17 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),1.0,1.1958415841584158,1.193271028037383,1.198888888888889,1.1873214285714284,,1.195,
1545,PERENCAH NASI GORENG IKAN BILIS SERI AJI,26G,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),,1.3453703703703705,1.3375,1.3401785714285714,1.3419642857142857,,1.3435185185185186,
1547,PEPSI COLA (TIN),320 ml,MINUMAN,TERSEDIA MINUM,,,,,1.7317073170731707,,,
1550,PAHA AYAM (CHICKEN DRUMSTICK),1kg,BARANGAN SEGAR,AYAM,,12.8375,12.855555555555556,13.02,12.8375,,12.971428571428572,
1551,DADA AYAM (CHICKEN KEEL) (1KG),1kg,BARANGAN SEGAR,AYAM,,12.69909090909091,12.809999999999999,12.809999999999999,12.928999999999998,,12.928999999999998,
1552,THIGH AYAM,1kg,BARANGAN SEGAR,AYAM,,11.729999999999999,11.594999999999999,12.063333333333333,12.063333333333333,,12.063333333333333,
