item_code,item,unit,item_group,item_category,2022-10-03,2022-10-07,2022-10-10,2022-10-11,2022-10-13,2022-10-17,2022-10-19,2022-10-20,2022-10-21,2022-10-22,2022-10-23,2022-10-24,2022-10-26,2022-10-31
1375,DAGING KERBAU IMPORT (INDIA) * (SILVERSIDE),1kg,BARANGAN SEGAR,DAGING,18.2,18.2,,,,,,,,,,,,
1377,DAGING KERBAU IMPORT (INDIA) * (BLADE),1kg,BARANGAN SEGAR,DAGING,20.5,20.5,,,,19.99,,,,,,,,
1378,DAGING KERBAU IMPORT (INDIA) * (CHUCK),1kg,BARANGAN SEGAR,DAGING,20.5,20.5,,,19.0,20.5,,,19.0,,,,,19.0
1379,DAGING BABI (PERUT / BELLY),1kg,BARANGAN SEGAR,DAGING,30.0,30.0,,,,,,,,,,,,
1380,DAGING BABI (DAGING & LEMAK / LEAN & FAT),1kg,BARANGAN SEGAR,DAGING,28.0,28.0,,,,36.0,,,,,,36.0,,36.0
1381,DAGING BABI (ISI DAGING / PURE LEAN),1kg,BARANGAN SEGAR,DAGING,24.0,24.0,,,,,,,,,,,,
1383,DAGING BABI (RUSUK DENGAN DAGING/ RIBS WITH MEAT),1kg,BARANGAN SEGAR,DAGING,30.0,30.0,,,,38.0,,,,,,38.0,,38.0
1391,UDANG PUTIH BESAR/BANANA PRAWN (BERAT ANTARA 41 EKOR HINGGA 60 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,37.5,,,40.0,,35.0,,,40.0
1396,KUBIS BULAT IMPORT (INDONESIA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,4.0,3.0,4.0,,,3.9333333333333336,,,3.9,,4.0,,,3.9333333333333336
1399,BAWANG PERAI (LEEK) TEMPATAN,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,,9.0,,,,9.0,,,,,,,,
1400,BAWANG PERAI (LEEK) IMPORT,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,15.296666666666667,15.445,14.5,,,15.979999999999999,,,11.99,,14.5,18.63,,15.979999999999999
1402,HORLICKS (PAKET),400 g,MINUMAN,BAHAN-BAHAN MINUMAN,,,,,,,,13.36111111111111,13.318888888888889,13.8,13.094285714285714,13.033750000000001,,
1412,KUBIS PANJANG CHINA - BESAR,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,6.125,6.5,6.333333333333333,,4.0,6.241666666666667,,,6.7375,,6.5,,,6.581818181818182
1419,KACANG DAL BIASA (INDIA),1kg,BARANGAN KERING,KACANG,6.3,8.15,5.05,,,6.533333333333333,,,9.233333333333334,,5.0600000000000005,5.8,,6.533333333333333
1420,KACANG DAL MALAVI (INDIA),1kg,BARANGAN KERING,KACANG,8.8,8.8,9.3,,,8.911111111111111,,,8.371428571428572,,9.0,11.0,7.0,8.6
1422,KACANG DAL (AUSTRALIA),1kg,BARANGAN KERING,KACANG,4.655076923076923,4.626333333333333,4.665714285714286,,5.5,4.65955223880597,5.6,4.724285714285714,4.6129999999999995,4.5,4.547826086956522,4.8,4.0,4.6618571428571425
1436,IKAN KERISI (ANTARA 5 HINGGA 10 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,17.52857142857143,16.77777777777778,15.322222222222223,,12.0,16.641176470588235,,,18.625,,14.89,,,16.883333333333333
1437,IKAN SIAKAP (ANTARA 2 HINGGA 4 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,21.238095238095237,20.79,21.083333333333332,,18.0,20.916666666666668,,21.0,21.125,,21.166666666666668,,,20.999565217391304
1438,IKAN TENGGIRI BATANG (KEPINGAN),1kg,BARANGAN SEGAR,BAHAN LAUT,41.111111111111114,44.4,38.5,,,41.25,,37.333333333333336,42.333333333333336,,,,,41.75
1440,BAWANG BESAR IMPORT (INDIA),1kg,BARANGAN KERING,BAWANG,4.005051546391753,4.045833333333333,3.9622916666666668,,3.0,4.033571428571428,,3.7144999999999997,3.992,3.65,3.908333333333333,4.5,4.0,3.9354807692307694
1441,BAWANG BESAR IMPORT (CHINA),1kg,BARANGAN KERING,BAWANG,3.6166666666666667,3.54,4.0,,,3.6166666666666667,4.5,,3.3,4.0,4.0,,,3.56
1442,BAWANG KECIL MERAH BIASA IMPORT (INDIA),1kg,BARANGAN KERING,BAWANG,4.544927536231884,5.835294117647059,4.2,,,4.605555555555556,,4.191304347826088,5.421428571428572,,4.210714285714286,6.5,,4.322388059701493
1443,BAWANG KECIL MERAH IMPORT (CHINA),1kg,BARANGAN KERING,BAWANG,3.9966666666666666,3.495,5.0,,,3.9966666666666666,,,3.495,,5.0,,,3.9966666666666666
1444,BAWANG KECIL MERAH IMPORT (MYANMAR),1kg,BARANGAN KERING,BAWANG,5.25,5.25,,,,5.25,,,5.25,,,,,5.25
1445,BERAS CAP FAIZA EMAS (SST5%),10 kg,BARANGAN BERBUNGKUS,BERAS,25.92452830188679,25.866666666666664,25.95263157894737,,,25.935185185185187,,25.929411764705883,25.854545454545452,26.0,25.969565217391303,,,25.916666666666668
1458,KUBIS BULAT IMPORT (BEIJING),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,5.918536585365853,6.0746153846153845,5.846071428571428,,,5.957209302325582,4.99,6.09,5.53625,,5.838888888888889,6.596666666666667,,5.98590909090909
1463,KRIMER SEJAT CARNATION,390g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,3.725769230769231,3.765428571428571,3.7527777777777778,,,3.813962264150943,,3.5,3.866388888888889,3.825,3.8933333333333335,,,3.88625
1474,BERAS BASMATHI - FAIZA (KASHMIR),5 kg,BARANGAN BERBUNGKUS,BERAS,31.079166666666666,32.445454545454545,30.541304347826085,,,31.04516129032258,,29.65909090909091,32.4,31.0,30.79444444444444,,,30.99375
1475,IKAN BAWAL PUTIH (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,33.0,,,,,,,,
1476,IKAN KEMBUNG (ANTARA 8 HINGGA 12 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,15.675999999999998,14.454545454545455,16.56923076923077,,,15.813636363636363,,18.5,18.75,,15.985714285714286,10.666666666666666,,15.319230769230769
1477,IKAN MABUNG (ANTARA 6 HINGGA 10 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,18.0,18.5,,,16.0,16.0,,,16.0,,,,,19.5
1479,BROKOLI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,13.621500000000001,14.034117647058824,13.5495,,11.0,13.960263157894737,,13.5,13.555,,13.208333333333334,17.7,,13.673953488372094
