item_code,item,unit,item_group,item_category,2022-06-03,2022-06-04,2022-06-05,2022-06-13,2022-06-14,2022-06-20,2022-06-27
360,SUP BUNJUT ADABI,8 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),1.4329787234042553,,1.3952941176470588,1.4175531914893618,,1.4204301075268817,1.4240837696335078
361,SUP PUNJUT MAK SITI,10 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),1.3499999999999999,,1.4291666666666665,1.4266666666666665,,1.4222222222222223,1.426923076923077
364,SERBUK CILI BABAS,250 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),5.995061728395062,5.5,6.055633802816901,6.121455696202531,5.3,6.156149068322981,6.215061728395062
365,SERBUK KUNYIT CAMPURAN (SEBATIAN) ADABI,250 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),6.097924528301887,6.300000000000001,5.8954385964912275,6.027413793103448,,6.044453781512605,6.067142857142858
367,SERBUK KUNYIT BABAS,250 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),5.005696202531645,4.6,4.823214285714286,4.944244604316546,4.5,4.942086330935252,4.976595744680852
368,KACANG TANAH (IMPORT),1kg,BARANGAN KERING,KACANG,9.033802816901408,8.75,9.166666666666666,9.141176470588235,,9.178832116788321,9.176086956521738
388,KRIMER MANIS CAP JUNJUNG,500 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,3.9147058823529415,,3.9200000000000004,3.923684210526316,,3.916037735849056,3.9499999999999997
716,CILI API/PADI HIJAU,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,27.199,,30.0,26.88888888888889,,27.916666666666668,28.076923076923077
843,ANMUM LACTA (BIASA),650g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,37.325,,37.872,37.71157894736842,,37.962857142857146,37.9247619047619
845,SOTONG (≥ 6 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,34.099999999999994,,33.375,33.714814814814815,,32.67727272727273,33.15833333333333
847,KETAM RENJONG/BUNGA (ANTARA 5 HINGGA 8 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,38.63333333333333,,30.9,36.266666666666666,,42.95,38.725
849,UDANG PUTIH KECIL (b	% 61 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,26.0,,20.9,22.725,,22.78,23.380000000000003
850,UDANG HARIMAU (ANTARA 20 HINGGA 30 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,36.0,,40.0,37.495000000000005,,40.0,40.0
861,UBI KENTANG HOLLAND,1kg,BARANGAN KERING,UBI KENTANG,3.9125,,3.8833333333333333,3.9047619047619047,,3.9523809523809526,3.9
863,JINTAN MANIS (KASAR),100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),1.542857142857143,,1.7316666666666667,1.6989999999999998,,1.676363636363636,1.6866666666666665
864,BUNGA CENGKIH,100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),6.708333333333333,,7.0,6.777777777777778,,7.1125,6.933333333333334
865,BUNGA LAWANG,100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),7.390000000000001,,6.8428571428571425,7.087999999999999,,7.087999999999999,7.127999999999999
866,BUAH PELAGA,100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),15.814285714285715,,19.650000000000002,17.114285714285714,,17.123076923076923,18.184615384615384
