item_code,item,unit,item_group,item_category,2022-03-07,2022-03-14,2022-03-21,2022-03-22,2022-03-28
1438,IKAN TENGGIRI BATANG (KEPINGAN),1kg,BARANGAN SEGAR,BAHAN LAUT,41.18357142857143,42.589999999999996,42.19384615384615,,42.35923076923076
1440,BAWANG BESAR IMPORT (INDIA),1kg,BARANGAN KERING,BAWANG,4.333521126760563,4.3980263157894735,4.4003703703703705,,4.462857142857143
1441,BAWANG BESAR IMPORT (CHINA),1kg,BARANGAN KERING,BAWANG,5.963333333333334,5.5725,5.4816666666666665,,5.4816666666666665
1442,BAWANG KECIL MERAH BIASA IMPORT (INDIA),1kg,BARANGAN KERING,BAWANG,5.262608695652173,5.007391304347826,5.510701754385965,,5.5535
1443,BAWANG KECIL MERAH IMPORT (CHINA),1kg,BARANGAN KERING,BAWANG,8.696000000000002,8.296000000000001,10.1225,,9.478
1444,BAWANG KECIL MERAH IMPORT (MYANMAR),1kg,BARANGAN KERING,BAWANG,6.2,5.3999999999999995,5.35,,6.9
1445,BERAS CAP FAIZA EMAS (SST5%),10 kg,BARANGAN BERBUNGKUS,BERAS,25.903225806451612,25.909207920792078,25.906388888888888,,25.905135135135136
1458,KUBIS BULAT IMPORT (BEIJING),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,5.420833333333333,5.47551724137931,5.445789473684211,,5.464181818181819
1463,KRIMER SEJAT CARNATION,390g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,3.1814285714285715,3.1877272727272725,3.181140350877193,3.0,3.1791666666666667
1474,BERAS BASMATHI - FAIZA (KASHMIR),5 kg,BARANGAN BERBUNGKUS,BERAS,30.638823529411766,30.688153846153845,30.6568115942029,,30.643823529411762
1475,IKAN BAWAL PUTIH (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,39.0,40.0,,48.0
1476,IKAN KEMBUNG (ANTARA 8 HINGGA 12 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,18.109166666666667,18.612692307692306,18.91,,18.932608695652174
1477,IKAN MABUNG (ANTARA 6 HINGGA 10 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,19.631666666666664,20.426363636363636,19.900000000000002,,22.076666666666668
1479,BROKOLI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,13.38888888888889,13.556060606060607,13.518888888888888,,13.382463768115942
1481,KUBIS BUNGA (CAULIFLOWER),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,8.963750000000001,8.942,8.716666666666667,,8.705802469135802
1482,KUBIS PANJANG (TEMPATAN),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,6.234814814814815,6.45962962962963,6.331379310344828,,6.335806451612903
1483,MEE KUNING BASAH (PELBAGAI JENAMA),+-450g,BARANGAN SEGAR,MEE/KUETIAU,1.4837837837837837,1.4866086956521738,1.495299145299145,,1.5006194690265486
1484,KUETIAU BASAH (PELBAGAI JENAMA),+-450g,BARANGAN SEGAR,MEE/KUETIAU,1.3986746987951808,1.399529411764706,1.4030952380952382,,1.4091566265060242
1485,EPAL HIJAU GRANNY SMITH (SAIZ M),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,1.145,1.256,1.2266666666666666,,1.2266666666666666
1487,OREN VALENCIA (SAIZ M),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,,,1.2,,
1489,ASAM JAWA (BERBIJI) PELBAGAI JENAMA,200 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),1.3871551724137932,1.3878070175438597,1.392280701754386,,1.4043589743589744
1491,BERAS PULUT THAILAND (SUSU) PELBAGAI JENAMA,1kg,BARANGAN BERBUNGKUS,BERAS,6.62969696969697,6.686875,6.71056338028169,,6.670289855072464
1492,BERAS PULUT THAILAND (BIASA) PELBAGAI JENAMA,1kg,BARANGAN BERBUNGKUS,BERAS,5.996756756756756,5.955365853658537,5.964444444444444,,5.97448717948718
1493,BIHUN KERING TEMPATAN (CAP JASMINE),400 g,BARANGAN BERBUNGKUS,BIHUN,2.5485882352941176,2.5643333333333334,2.561111111111111,,2.5739534883720934
1494,ROTI GARDENIA BREAKTHRU - ROTI GANDUM PENUH,400 g,BARANGAN BERBUNGKUS,ROTI,3.6,3.6,3.6,,3.6
1498,TEPUNG JAGUNG (PELBAGAI JENAMA),400 g,BARANGAN BERBUNGKUS,TEPUNG,1.7688023952095808,1.770823529411765,1.768587570621469,,1.7712994350282485
1505,DUTCH LADY UHT COKLAT (KOTAK),200 ml,MINUMAN,TERSEDIA MINUM,,,1.9,,1.736181818181818
1506,DUTCH LADY UHT FULL CREAM (KOTAK),200 ml,MINUMAN,TERSEDIA MINUM,,,1.9,,1.7482
1507,COCA COLA (TIN),320 ml,MINUMAN,TERSEDIA MINUM,,,1.6,,1.6833636363636366
1512,MAMEX LANGKAH 1 - RUMUSAN BAYI (KOTAK),600 g,SUSU DAN BARANGAN BAYI,SUSU BAYI,54.06153846153846,54.050000000000004,54.130769230769225,,54.04615384615385
1513,SUSTAGEN KID 3+ (VANILLA) - KOTAK,600 g,SUSU DAN BARANGAN BAYI,SUSU BAYI,33.49969230769231,33.652166666666666,33.516363636363636,,33.44439393939394
1514,SUSTAGEN JUNIOR 1+ (VANILLA ) - KOTAK,600 g,SUSU DAN BARANGAN BAYI,SUSU BAYI,36.61043478260869,36.719130434782606,36.6956,,36.63652173913044
1515,HEINZ FARLEY RUSKS (ORIGINAL),120 g,SUSU DAN BARANGAN BAYI,MAKANAN BAYI,6.760487804878049,6.769302325581395,6.815869565217392,,6.821136363636364
1517,HEINZ APPLE PUREE,110 g,SUSU DAN BARANGAN BAYI,MAKANAN BAYI,4.95,4.95,4.95,,
1524,BERUS GIGI COLGATE (ZIG ZAG - SOFT),1 batang,PRODUK KEBERSIHAN,PENJAGAAN DIRI,,,,,3.902842105263158
1525,BERUS GIGI ORAL B (COMPLETE EASY CLEAN - SOFT),1 batang,PRODUK KEBERSIHAN,PENJAGAAN DIRI,,,4.3,,4.023809523809524
1538,SABUN PENCUCI AXION PASTE (LEMON),350 g,PRODUK KEBERSIHAN,PENJAGAAN RUMAH,,,3.99,,3.9427083333333335
1539,SABUN PENCUCI KUAT HARIMAU (LEMON),400 g,PRODUK KEBERSIHAN,PENJAGAAN RUMAH,,,,,2.7703061224489796
1540,SABUN PENCUCI GLO (LEMON),900ml,PRODUK KEBERSIHAN,PENJAGAAN RUMAH,,,5.995,,5.599720670391061
1541,SABUN PENCUCI SUNLIGHT (LEMON),1000 ml,PRODUK KEBERSIHAN,PENJAGAAN RUMAH,,,6.9,,6.613311258278146
1543,KIUB SUP TOMYAM (MAGGI),2 X 10G,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),,1.8,1.8,,1.8
1544,SERBUK NASI GORENG CINA ADABI,17 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),1.0754237288135593,1.091344537815126,1.0899137931034482,,1.094051724137931
1545,PERENCAH NASI GORENG IKAN BILIS SERI AJI,26G,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),1.2478823529411764,1.253953488372093,1.2525000000000002,,1.245
1547,PEPSI COLA (TIN),320 ml,MINUMAN,TERSEDIA MINUM,,,1.55,,1.5825454545454545
1550,PAHA AYAM (CHICKEN DRUMSTICK),1kg,BARANGAN SEGAR,AYAM,14.457916666666668,14.9432,15.437307692307693,,15.724166666666667
