item_code,item,unit,item_group,item_category,2022-03-02,2022-03-03,2022-03-05
1789,TEH TARIK PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,1.7417808219178081,1.72,1.35
1790,"KOPI ""O"" AIS",gelas besar,MAKANAN SIAP MASAK,MINUMAN,1.7276315789473684,1.6600000000000001,1.35
1791,KOPI AIS,gelas besar,MAKANAN SIAP MASAK,MINUMAN,2.0915966386554623,2.0,1.6
1792,TEH AIS,gelas besar,MAKANAN SIAP MASAK,MINUMAN,2.0366379310344827,1.94,1.6
1793,NESCAFE AIS,gelas besar,MAKANAN SIAP MASAK,MINUMAN,2.462121212121212,2.6799999999999997,2.5
1794,LIMAU AIS,gelas besar,MAKANAN SIAP MASAK,MINUMAN,1.840316742081448,1.6600000000000001,1.6
1795,JUS OREN,segelas,MAKANAN SIAP MASAK,MINUMAN,3.424147727272727,3.4333333333333336,
1796,CARROT SUSU,segelas,MAKANAN SIAP MASAK,MINUMAN,3.485534591194969,3.6,
1814,LIMAU PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,1.4177884615384615,1.34,1.25
1857,NASI KERABU (BIASA),sepinggan,MAKANAN SIAP MASAK,NASI,3.673076923076923,5.0,
1858,NASI DAGANG (BIASA),sepinggan,MAKANAN SIAP MASAK,NASI,4.88,5.0,
1859,"TEH ""O"" AIS",gelas besar,MAKANAN SIAP MASAK,MINUMAN,1.5402489626556015,1.52,1.35
1860,"TEH ""O"" LIMAU AIS",gelas besar,MAKANAN SIAP MASAK,MINUMAN,1.9566964285714286,1.9,1.6
1861,TEH HALIA AIS,gelas besar,MAKANAN SIAP MASAK,MINUMAN,2.4139072847682117,2.3000000000000003,2.0
1862,"NESCAFE ""O"" AIS",gelas besar,MAKANAN SIAP MASAK,MINUMAN,2.1220588235294118,2.1,2.1
1863,NESLO AIS,gelas besar,MAKANAN SIAP MASAK,MINUMAN,2.9570212765957447,3.06,3.0
1864,HORLICKS AIS,gelas besar,MAKANAN SIAP MASAK,MINUMAN,2.645580110497238,2.9333333333333336,3.0
1865,MILO AIS,gelas besar,MAKANAN SIAP MASAK,MINUMAN,2.50625,2.6799999999999997,2.5
1866,"MILO ""O"" AIS",gelas besar,MAKANAN SIAP MASAK,MINUMAN,2.308590308370044,2.2,2.1
1867,SIRAP AIS,gelas besar,MAKANAN SIAP MASAK,MINUMAN,1.4914583333333333,1.58,1.2
1868,SIRAP LIMAU AIS,gelas besar,MAKANAN SIAP MASAK,MINUMAN,1.9109589041095891,1.8,1.6
1869,SIRAP BANDUNG AIS,gelas besar,MAKANAN SIAP MASAK,MINUMAN,2.0976293103448276,2.0,1.6
