item_code,item,unit,item_group,item_category,2022-05-11,2022-05-12,2022-05-14,2022-05-17
1187,BIHUN BANDUNG,semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.576923076923077,6.25,,
1188,BIHUN LADNA,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,6.562857142857142,6.0,8.0,
1189,BIHUN KUNGFU,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,7.06231884057971,6.5,,
1198,AYAM GORENG,seketul,MAKANAN SIAP MASAK,LAUK,3.5426035502958584,,2.0,4.0
1199,AYAM MASAK MERAH,seketul,MAKANAN SIAP MASAK,LAUK,3.8575163398692816,,2.0,4.5
1200,AYAM MASAK KICAP,seketul,MAKANAN SIAP MASAK,LAUK,3.81304347826087,,2.0,5.0
1201,AYAM MASAK HALIA,seketul,MAKANAN SIAP MASAK,LAUK,3.7872340425531914,,2.0,
1202,DAGING MASAK MERAH,sepiring,MAKANAN SIAP MASAK,LAUK,5.622222222222222,5.75,6.5,
1203,DAGING MASAK KICAP,sepiring,MAKANAN SIAP MASAK,LAUK,5.294897959183674,5.0,7.0,
1204,DAGING MASAK HALIA,sepiring,MAKANAN SIAP MASAK,LAUK,6.058620689655172,5.75,,
1205,DAGING MASAK PAPRIK,sepiring,MAKANAN SIAP MASAK,LAUK,6.152307692307692,5.75,7.0,
1206,SOTONG GORENG,sepiring,MAKANAN SIAP MASAK,LAUK,7.009615384615385,6.5,7.0,
1207,SOTONG MASAK MERAH,sepiring,MAKANAN SIAP MASAK,LAUK,6.571428571428571,,7.5,
1208,SOTONG MASAK KICAP,sepiring,MAKANAN SIAP MASAK,LAUK,7.094594594594595,,,
1209,SOTONG MASAK HALIA,sepiring,MAKANAN SIAP MASAK,LAUK,7.385714285714286,,,
1210,UDANG GORENG,sepiring,MAKANAN SIAP MASAK,LAUK,7.5588235294117645,6.5,7.5,
1211,UDANG MASAK MERAH,sepiring,MAKANAN SIAP MASAK,LAUK,7.215686274509804,,7.5,
1212,UDANG MASAK KICAP,sepiring,MAKANAN SIAP MASAK,LAUK,7.473684210526316,,,
1213,UDANG MASAK HALIA,sepiring,MAKANAN SIAP MASAK,LAUK,7.271428571428571,,,
1214,SAYUR CAMPUR,sepiring,MAKANAN SIAP MASAK,LAUK,3.974418604651163,4.5,5.0,3.0
1215,SAYUR KAILAN IKAN MASIN,sepiring,MAKANAN SIAP MASAK,LAUK,4.798795180722892,5.25,6.5,
1216,SAYUR KANGKUNG GORENG BELACAN,sepiring,MAKANAN SIAP MASAK,LAUK,4.413483146067416,5.5,6.0,
1232,TELUR MATA KERBAU,sebiji,MAKANAN SIAP MASAK,LAUK,1.1424581005586592,1.0,1.25,1.0
1233,TELUR DADAR,sebiji,MAKANAN SIAP MASAK,LAUK,1.653038674033149,1.5,1.5,1.5
1234,TELUR BISTIK,1 set,MAKANAN SIAP MASAK,LAUK,6.068333333333333,4.5,,
1235,TELUR SETENGAH MASAK,sebiji,MAKANAN SIAP MASAK,LAUK,1.1402298850574712,,,
1236,TELUR REBUS,sebiji,MAKANAN SIAP MASAK,LAUK,1.1277777777777778,,1.5,1.0
1237,TELUR MASIN,sebiji,MAKANAN SIAP MASAK,LAUK,1.9054054054054055,,2.0,2.5
1238,SUP AYAM,semangkuk,MAKANAN SIAP MASAK,LAUK,5.7672268907563025,6.75,6.0,5.0
1239,SUP DAGING,semangkuk,MAKANAN SIAP MASAK,LAUK,6.782203389830508,10.0,6.0,
1240,SUP EKOR,semangkuk,MAKANAN SIAP MASAK,LAUK,10.333333333333334,15.0,,
