item_code,item,unit,item_group,item_category,2025-04-02,2025-04-03,2025-04-04,2025-04-05,2025-04-06,2025-04-07,2025-04-08,2025-04-09,2025-04-10,2025-04-11,2025-04-12,2025-04-13,2025-04-14,2025-04-15,2025-04-16,2025-04-17,2025-04-18,2025-04-19,2025-04-20,2025-04-21,2025-04-22,2025-04-23,2025-04-24,2025-04-25,2025-04-27,2025-04-28,2025-04-29,2025-04-30
131,BAWANG KECIL MERAH ROSE IMPORT (INDIA),1kg,BARANGAN KERING,BAWANG,,,,,,9.407837837837837,,,,8.5,8.5,12.0,10.301184210526316,12.0,12.0,12.0,,12.0,12.0,10.312727272727273,12.0,12.0,12.0,12.0,12.0,10.315094339622643,10.309999999999999,12.0
132,BAWANG KECIL MERAH IMPORT (THAILAND),1kg,BARANGAN KERING,BAWANG,,,,,,12.504545454545456,,,,,,,12.607692307692307,,,,,,,12.68695652173913,,,,,,12.657894736842104,12.216666666666667,
148,IKAN BILIS GRED B (KOPEK),1kg,BARANGAN KERING,HASIL LAUT KERING,29.9,29.9,29.9,29.9,29.9,29.84133333333333,29.9,29.9,29.9,29.9,29.9,29.9,29.496666666666663,29.9,29.9,29.9,29.9,29.9,29.9,31.82026315789474,29.9,29.9,29.9,29.9,,25.461851851851854,42.10666666666667,29.9
152,KACANG HIJAU (IMPORT),1kg,BARANGAN KERING,KACANG,7.9,7.9,7.9,7.9,7.9,8.0,7.9,7.9,7.9,7.9,7.9,7.9,8.039455782312924,7.9,7.9,7.9,7.9,7.9,7.9,8.018120805369128,7.9,7.9,7.9,7.9,,7.992700729927007,7.957142857142857,7.9
154,SERBUK KUNYIT (TIDAK BERBUNGKUS),100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),,,,,,1.8725,,,,,,,2.295,,,,,,,2.295,,,,,,1.9966666666666668,,
155,SERBUK CILI  (TIDAK BERBUNGKUS),100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),,,,,,3.09,,,,,,,3.09,,,,,,,3.09,,,,,,3.09,,
160,UBI KENTANG RUSSET,1kg,BARANGAN KERING,UBI KENTANG,,,,,,10.0,,,,,,,10.0,,,,,,,10.0,,,,,,,10.0,
180,TEH BOH (UNCANG),100 beg,MINUMAN,BAHAN-BAHAN MINUMAN,,,,,,,,,,,,,,,,,,,,14.645909090909091,,,,,,,,
190,SARDIN CAP AYAM (SOS TOMATO),155 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,,,,,,5.265671641791045,,,,,,,5.275792079207921,,,,,,,5.269565217391304,,,,,,5.264804469273743,5.268,
191,SARDIN CAP AYAM (SOS TOMATO),425 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,,,,,,10.49842105263158,,,,,,,10.496858638743456,,,,,,,10.482901554404146,,,,,,10.484571428571428,10.545454545454545,
192,SARDIN CAP KING CUP (SOS TOMATO),155 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,,,,,,4.378307692307692,,,,,,,4.383582089552239,,,,,,,4.390151515151516,,,,,,4.382575757575758,,
193,SARDIN CAP KING CUP (SOS TOMATO),425 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,,,,,,9.13,,,,,,,9.12025641025641,,,,,,,9.106233766233768,,,,,,9.136,,
195,MACKAREL CAP AYAM (SOS TOMATO),425 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,,,,,,10.458488372093024,,,,,,,10.45578034682081,,,,,,,10.436312849162011,,,,,,10.439112426035503,10.725,
197,MACKAREL CAP KING CUP (SOS TOMATO),425 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,,,,,,9.245454545454546,,,,,,,9.14,,,,,,,9.28,,,,,,9.38888888888889,,
199,TUNA CAP TC BOY (SANDWICH DELITE),150 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,,,,,,6.5,,,,,,,6.5,,,,,,,6.5,,,,,,6.5,,
201,JEM STRAWBERI LADY'S CHOICE,400 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),,,,,,9.470895522388059,,,,,,,9.457857142857142,,,,,,,9.46642857142857,,,,,,9.444262295081968,9.614285714285714,
202,SERI KAYA YEO'S,480 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),,,,,,7.748765432098765,,,,,,,7.761309523809524,,,,,,,7.763793103448276,,,,,,7.752027027027027,7.666666666666667,
203,MAINLAND CHESDALE CHEDDAR CHEESE SPREAD 12 CHEDDAR,250 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),,,,,,13.095,,,,,,,13.112,,,,,,,13.147575757575758,,,,,,13.1490625,12.0,
205,MARJERIN DAISY,480 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),,,,,,9.642222222222223,,,,,,,9.651911764705883,,,,,,,9.68513888888889,,,,,,9.686338028169015,9.528571428571428,
206,MARJERIN PLANTA,480 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),,,,,,12.471171875,,,,,,,12.467851239669422,,,,,,,12.450000000000001,,,,,,12.458653846153847,12.433333333333334,
214,KICAP LEMAK MANIS CAP KIPAS UDANG,345ml,BARANGAN BERBUNGKUS,KICAP DAN SOS,,,,,,6.830773195876289,,,,,,,6.8459585492227975,,,,,,,6.861212121212121,,,,,,6.8126815642458105,7.2,
215,KICAP LEMAK MANIS CAP JALEN,650 ml,BARANGAN BERBUNGKUS,KICAP DAN SOS,,,,,,7.96872,,,,,,,7.996583333333334,,,,,,,7.9868695652173916,,,,,,7.971546391752577,7.976190476190476,
217,SOS TOMATO MAGGI,325 g,BARANGAN BERBUNGKUS,KICAP DAN SOS,,,,,,4.222383419689119,,,,,,,4.229378238341969,,,,,,,4.232410256410256,,,,,,4.231516853932584,4.295454545454546,
218,SOS CILI LIFE,340 g,BARANGAN BERBUNGKUS,KICAP DAN SOS,,,,,,4.6588,,,,,,,4.651190476190476,,,,,,,4.656829268292682,,,,,,4.6670476190476196,4.654999999999999,
221,DRINHO SOYA (KOTAK),250 ml,MINUMAN,TERSEDIA MINUM,,,,,,,,,,,,,,,,,,,,1.1594594594594596,,,,,,,,
224,SUSU SEGAR DUTCH LADY,1 liter,MINUMAN,TERSEDIA MINUM,,,,,,,,,,,,,,,,,,,,8.361666666666666,,,,,,,,
226,YEO'S LAICI (KOTAK),250 ml,MINUMAN,TERSEDIA MINUM,,,,,,,,,,,,,,,,,,,,1.2169230769230768,,,,,,,,
228,COCA COLA (BOTOL),1.5 liter,MINUMAN,TERSEDIA MINUM,,,,,,,,,,,,,,,,,,,,4.113222222222222,,,,,,,,
229,F&N OREN (TIN),325 ml,MINUMAN,TERSEDIA MINUM,,,,,,,,,,,,,,,,,,,,1.8440677966101695,,,,,,,,
230,F&N OREN (BOTOL),1.5 liter,MINUMAN,TERSEDIA MINUM,,,,,,,,,,,,,,,,,,,,3.9294871794871793,,,,,,,,
232,MIRINDA OREN (BOTOL),1.5 liter,MINUMAN,TERSEDIA MINUM,,,,,,,,,,,,,,,,,,,,3.745357142857143,,,,,,,,
235,JUS OREN PEEL FRESH (MARIGOLD),1 liter,MINUMAN,TERSEDIA MINUM,,,,,,,,,,,,,,,,,,,,6.955263157894737,,,,,,,,
239,RED BULL (BOTOL),150 ml,MINUMAN,TERSEDIA MINUM,,,,,,,,,,,,,,,,,,,,2.4678,,,,,,,,
240,LIVITA WITH HONEY (BOTOL),150 ml,MINUMAN,TERSEDIA MINUM,,,,,,,,,,,,,,,,,,,,2.423611111111111,,,,,,,,
246,MINYAK JAGUNG CAP MAZOLA,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,,,,,18.934615384615384,,,,,,,18.91625,,,,,,,18.915,,,,,,18.90904761904762,19.06,
254,MINYAK MASAK SEBATIAN CAP HELANG,5 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,,,,,37.260263157894734,,,,,,,37.18475,,,,,,,37.04644444444444,,,,,,37.06225,36.300000000000004,
257,MINYAK MASAK SEBATIAN CAP NEPTUNE,5 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,,,,,36.95,,,,,,,36.95,,,,,,,37.23333333333333,,,,,,37.23333333333333,,
260,MINYAK MASAK SEBATIAN CAP PISAU,5 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,,,,,36.69942857142857,,,,,,,36.62166666666667,,,,,,,36.7275,,,,,,36.6653125,36.660000000000004,
